Time,Flux,Flux_err
2458348.8097272404,6342.018,11.745353
2458348.811116112,6359.157,11.758813
2458348.812504984,6362.474,11.74079
2458348.8305603163,6369.3574,11.750649
2458348.831949188,6366.721,11.765896
2458348.8347269315,6372.717,11.772964
2458348.837504675,6376.4507,11.775044
2458348.8388935467,6379.3247,11.77536
2458348.8402824183,6358.7075,11.753253
2458348.84167129,6349.1616,11.760159
2458348.843060162,6360.46,11.778959
2458348.844449033,6346.773,11.751703
2458348.8625043654,6370.02,11.774763
2458348.8652821085,6368.629,11.769023
2458348.8666709806,6377.8545,11.776285
2458348.868059852,6352.2246,11.759586
2458348.869448724,6356.0146,11.762845
2458348.904170515,6367.097,11.769581
2458348.9222258464,6361.6396,11.763201
2458348.9250035896,6352.063,11.755996
2458348.926392461,6364.2124,11.7733345
2458348.9277813327,6349.9087,11.761404
2458348.9291702043,6366.402,11.776129
2458348.930559076,6359.9004,11.764596
2458348.9319479475,6370.214,11.761916
2458348.933336819,6370.149,11.788614
2458348.93472569,6359.5815,11.755034
2458348.9361145627,6368.1636,11.765474
2458348.9375034343,6367.948,11.77027
2458348.9388923054,6333.8174,11.745941
2458348.940281177,6353.872,11.757708
2458348.9416700485,6355.702,11.7535305
2458348.94305892,6350.998,11.754394
2458348.9458366632,6355.259,11.755063
2458348.947225535,6350.8794,11.74699
2458348.9486144064,6365.335,11.753286
2458348.950003278,6380.1616,11.767645
2458348.95139215,6364.7285,11.771367
2458348.9527810216,6360.883,11.7662525
2458348.9555587647,6345.8403,11.739999
2458348.961114251,6362.056,11.768105
2458348.9625031226,6340.947,11.730905
2458348.9666697374,6361.4263,11.743154
2458348.968058609,6376.599,11.77267
2458348.9694474805,6386.0195,11.752441
2458348.970836352,6382.3057,11.760142
2458348.972225223,6393.4355,11.757004
2458348.973614095,6373.5723,11.744872
2458348.9750029664,6376.5894,11.743293
2458348.976391838,6369.596,11.755433
2458348.977780709,6355.6514,11.752457
2458348.986113939,6376.5923,11.744925
2458349.0111136264,6379.562,11.734942
2458349.0166691123,6357.1274,11.728276
2458349.038891056,6318.5977,11.706192
2458349.040279928,6321.1606,11.698718
2458349.0513909,6302.7666,11.683506
2458349.052779771,6272.244,11.678435
2458349.0541686425,6280.2886,11.692954
2458349.055557514,6265.6133,11.678937
2458349.056946385,6268.1665,11.66961
2458349.0583352568,6262.0728,11.670134
2458349.0597241283,6282.189,11.671986
2458349.061113,6250.239,11.661641
2458349.062501871,6272.05,11.670858
2458349.0638907426,6273.5073,11.667465
2458349.065279614,6272.745,11.66986
2458349.086112685,6264.117,11.650649
2458349.087501557,6255.8896,11.670858
2458349.0902793,6272.7554,11.669478
2458349.0958347856,6269.0503,11.654215
2458349.101390271,6268.926,11.674884
2458349.1027791426,6298.5186,11.667315
2458349.104168014,6299.014,11.681697
2458349.105556885,6286.958,11.670799
2458349.106945757,6280.5747,11.699333
2458349.1083346284,6303.331,11.676091
2458349.1097234995,6277.316,11.662001
2458349.112501242,6287.775,11.667771
2458349.113890114,6297.5386,11.675472
2458349.1166678565,6293.379,11.677308
2458349.1208344707,6340.727,11.693257
2458349.136112056,6367.449,11.709806
2458349.137500928,6379.1094,11.727632
2458349.1388897984,6378.3657,11.723564
2458349.14027867,6358.8096,11.712543
2458349.141667541,6378.434,11.70762
2458349.201389008,6382.824,11.696251
2458349.2041667504,6373.144,11.711146
2458349.205555622,6389.9873,11.718806
2458349.208333364,6374.8003,11.711953
2458349.211111107,6402.491,11.729165
2458349.2124999785,6377.1953,11.720035
2458349.2138888496,6394.7393,11.711161
2458349.2152777207,6385.2393,11.704949
2458349.2180554634,6380.8105,11.714165
2458349.2194443345,6379.5034,11.707712
2458349.220833206,6377.518,11.707198
2458349.222222077,6384.588,11.723572
2458349.227777562,6394.6816,11.719806
2458349.230555305,6362.6533,11.693907
2458349.231944176,6382.1294,11.7006645
2458349.2333330475,6391.548,11.704832
2458349.2361107897,6377.5786,11.698452
2458349.2374996613,6393.9453,11.709574
2458349.2402774035,6373.908,11.691254
2458349.2430551457,6375.9727,11.702875
2458349.3083320926,6360.5444,11.678881
2458349.309720964,6368.705,11.685981
2458349.311109835,6377.2944,11.684657
2458349.312498706,6385.3984,11.694178
2458349.313887577,6374.3955,11.691132
2458349.319443062,6383.69,11.681943
2458349.320831933,6394.0786,11.692035
2458349.322220804,6383.4946,11.693988
2458349.3236096757,6382.2305,11.691654
2458349.3249985464,6390.886,11.69042
2458349.326387417,6362.692,11.677749
2458349.3277762886,6382.8525,11.691692
2458349.32916516,6399.116,11.695125
2458349.330554031,6381.3936,11.6816435
2458349.331942902,6377.015,11.682859
2458349.333331773,6360.28,11.675033
2458349.334720644,6360.7085,11.681729
2458349.3361095157,6376.8433,11.679737
2458349.3374983864,6376.9946,11.6860485
2458349.338887257,6370.005,11.695324
2458349.3402761286,6379.3066,11.684714
2458349.341665,6353.4146,11.671821
2458349.343053871,6384.565,11.685825
2458349.344442742,6362.9175,11.677362
2458349.345831613,6358.2026,11.6703415
2458349.3472204846,6380.47,11.695272
