Time,Flux,Flux err
2459036.2758512935,nan,nan
2459036.2772402144,nan,nan
2459036.2814069767,6223.041,10.939792
2459036.2841848186,6216.693,10.934785
2459036.285573739,6221.759,10.941262
2459036.28696266,6212.8066,10.934925
2459036.288351581,6212.8228,10.9294195
2459036.289740502,6240.9106,10.936565
2459036.291129423,6216.5024,10.930784
2459036.292518344,6225.962,10.947089
2459036.2939072642,6249.0786,10.948925
2459036.295296185,6239.244,10.946975
2459036.296685106,6231.449,10.936498
2459036.2980740266,6220.476,10.940969
2459036.2994629475,6212.5166,10.927293
2459036.3008518685,6211.649,10.936912
2459036.3022407894,6216.186,10.931904
2459036.3036297103,6240.61,10.947995
2459036.305018631,6204.6084,10.933803
2459036.3064075517,6226.5874,10.942255
2459036.307796472,6208.9746,10.936271
2459036.309185393,6232.3613,10.93789
2459036.310574314,6226.8066,10.942075
2459036.3119632346,6219.8027,10.93274
2459036.3133521555,6225.7246,10.9429455
2459036.314741076,6244.8228,10.952584
2459036.316129997,6227.992,10.939941
2459036.317518918,6225.601,10.948726
2459036.3189078383,6216.799,10.928138
2459036.3202967593,6220.1963,10.944617
2459036.32168568,6217.242,10.929675
2459036.3230746007,6226.384,10.947889
2459036.3244635216,6227.8066,10.950421
2459036.325852442,6224.6416,10.942782
2459036.327241363,6235.932,10.951374
2459036.3286302835,6221.192,10.940995
2459036.3300192044,6230.023,10.957374
2459036.331408125,6219.0073,10.934415
2459036.332797046,6219.3877,10.940558
2459036.3341859663,6229.4365,10.946445
2459036.335574887,6212.7876,10.9357395
2459036.3369638077,6233.8633,10.953118
2459036.3383527286,6219.871,10.938191
2459036.339741649,6213.5454,10.944322
2459036.34113057,6217.754,10.94128
2459036.3425194905,6215.2246,10.93356
2459036.3439084115,6217.133,10.944321
2459036.345297332,6214.495,10.949807
2459036.346686253,6210.118,10.928296
2459036.3480751733,6211.082,10.936669
2459036.349464094,6210.7573,10.942116
2459036.3508530147,6227.3857,10.960084
2459036.352241935,6221.587,10.9527
