Time,Flux,Flux_err
2459084.835705421,6305.915,11.7412195
2459084.837094285,6295.1924,11.734276
2459084.8384831497,6281.4487,11.741484
2459084.8398720142,6276.219,11.73081
2459084.8412608784,6281.6875,11.730342
2459084.842649743,6257.416,11.73009
2459084.844038607,6296.609,11.746117
2459084.845427471,6293.494,11.742109
2459084.846816336,6272.9097,11.733467
2459084.8482052,6280.6426,11.751771
2459084.8495940645,6264.647,11.734419
2459084.8509829286,6304.7686,11.768924
2459084.852371793,6294.6484,11.749763
2459084.8537606574,6305.694,11.75473
2459084.855149522,6294.7886,11.754337
2459084.856538386,6300.641,11.760479
2459084.8579272507,6302.6094,11.775026
2459084.859316115,6295.88,11.758205
2459084.860704979,6277.114,11.756589
2459084.8620938435,6282.559,11.762978
2459084.863482708,6271.9336,11.753472
2459084.864871572,6265.8315,11.752226
2459084.8662604364,6292.365,11.766522
2459084.867649301,6292.1396,11.761768
2459084.869038165,6276.447,11.754179
2459084.870427029,6297.234,11.774248
2459084.871815894,6293.1646,11.767447
2459084.8732047584,6294.706,11.775413
2459084.8745936225,6289.395,11.771897
2459084.875982486,6309.8413,11.783117
2459084.8773713512,6293.0576,11.772807
2459084.878760216,6275.5845,11.770784
2459084.8801490795,6293.0483,11.780703
2459084.881537944,6276.741,11.772427
2459084.8829268087,6287.3667,11.769218
2459084.884315673,6291.843,11.783325
2459084.885704537,6291.131,11.784336
2459084.887093401,6273.8604,11.765764
2459084.8884822656,6270.114,11.765745
2459084.8898711298,6287.454,11.776625
2459084.8912599944,6303.0303,11.783707
2459084.8926488585,6294.5767,11.787877
2459084.894037723,6288.1562,11.785163
2459084.895426587,6267.0986,11.774717
2459084.896815452,6299.3584,11.784886
2459084.898204316,6281.2544,11.783227
2459084.89959318,6279.6626,11.789439
2459084.9009820446,6265.216,11.77857
2459084.9023709088,6275.5728,11.777326
2459084.9037597734,6274.8423,11.782693
2459084.905148637,6284.2124,11.794584
2459084.9065375016,6303.937,11.794782
2459084.907926366,6285.345,11.80141
2459084.9093152303,6291.457,11.78988
2459084.9107040945,6279.898,11.792555
2459084.912092959,6283.2847,11.792032
2459084.913481823,6274.23,11.782322
2459084.9148706878,6298.2036,11.792241
2459084.916259552,6278.7773,11.791333
2459084.917648416,6271.987,11.784743
2459084.9190372806,6291.952,11.790608
2459084.9204261447,6284.138,11.782563
2459084.923203873,6268.868,11.798247
2459084.9245927376,6303.603,11.803815
2459084.9259816017,6292.121,11.802959
2459084.9273704663,6279.1416,11.792406
2459084.9287593304,6282.564,11.7939625
2459084.9301481945,6291.2417,11.794854
2459084.931537059,6273.9526,11.79555
2459084.9329259237,6271.862,11.792935
2459084.934314788,6282.074,11.792719
2459084.935703652,6289.936,11.794923
2459084.937092516,6288.955,11.794199
2459084.93848138,6274.443,11.795418
2459084.939870245,6272.05,11.791044
2459084.941259109,6291.4653,11.793618
2459084.942647973,6299.313,11.809785
