Parameter,Telescope,Filter,Epoch,Best,Error
P,-,-,-,2.798579206577364,1.0632677240549752e-07
t0,-,-,-,2456297.719694774,9.109991866693653e-05
a/r*,-,-,-,10.21139908210047,0.23750965361145143
a/AU,-,-,-,0.040839488323137454,0.0017122743727828527
rp/r*,-,0,-,0.1182199937001055,0.0012229877289455366
inc,-,-,-,88.4574777799772,0.4056049223998251
ecc,-,-,-,0.0,-
w,-,-,-,90.0,-
q0,-,0,-,0.1991690464277119,0.21322664520384482
q1,-,0,-,0.8322784550071713,0.19815121594131838
norm,0,0,0,0.9995819817751368,7.85189483171529e-05
d0_0,0,0,0,0.0001285662071957,0.0004263036952654997
d1_0,0,0,0,0.0014236084987577,0.0008574476036603769
u0,-,0,-,0.7428644405062207,0.43520666591675655
u1,-,0,-,-0.2965808463335109,0.2376644384825048
