Parameter,Telescope,Filter,Epoch,Batch,Best,Error
P,-,-,-,0,2.7985790561213646,5.731695567790146e-08
t0,-,-,-,0,2456297.719542112,4.293116368186353e-05
a/r*,-,-,-,0,9.081517288593043,0.47230568440412457
a/AU,-,-,-,0,0.03632063699419884,0.03744028352203519
inc,-,-,-,0,87.50508233934696,0.45965782334991134
rp/r*,-,0,-,0,0.11446596568236266,0.0014419782452127752
q0,-,0,-,0,0.8624802827104848,0.17538150525654342
q1,-,0,-,0,0.45093239059209766,0.0845363106028619
d0_0,0,0,0,0,0.00022794947671675447,0.0003944789633673121
d1_0,0,0,0,0,0.0006439986491071441,0.0004446238728403286
norm,0,0,0,0,0.9995534045447363,0.00016020579540515219
ecc,-,-,-,0,0.0,-
w,-,-,-,0,90.0,-
u0,-,0,-,0,0.837560167866979,0.17862306249447066
u1,-,0,-,0,0.09113799769085437,0.1613328519626991
