Parameter,Telescope,Filter,Epoch,Best,Error
P,-,-,-,2.798579206577364,1.0632677240549752e-07
t0,-,-,-,2456297.719694774,9.109991866693653e-05
a/r*,-,-,-,10.054554061666453,0.24990930731113892
a/AU,-,-,-,0.040212202059124375,0.0017224072624773667
inc,-,-,-,88.26279078692141,0.4229466957204397
rp/r*,-,0,-,0.11833815949114848,0.0012097827435490261
q0,-,0,-,0.2751276668129855,0.2131519086280455
q1,-,0,-,0.6445447720278056,0.19468775807656133
d0_0,0,0,0,0.0001285662071957253,0.0004263036952654997
d1_0,0,0,0,0.0014236084987577407,0.0008574476036603769
norm,0,0,0,0.9995819817751367,7.85189483171529e-05
ecc,-,-,-,0.0,-
w,-,-,-,90.0,-
u0,-,0,-,0.6761611568451761,0.33214026872443403
u1,-,0,-,-0.15163502135430704,0.21251646695027768
