Parameter,Telescope,Filter,Epoch,Best,Lower_error,Upper_error
P,-,-,-,2.798579206577364,-1.8841908877575975e-07,6.589727030714698e-08
t0,-,-,-,2456297.719694774,-0.00022921478375792503,4.529859870672226e-05
a/r*,-,-,-,10.21139908210047,-0.7010961879956046,0.1038505747963967
rp/r*,-,0,-,0.1182199937001055,-0.003374268470132294,0.0005866718028538498
inc,-,-,-,88.4574777799772,-0.5538498635646931,0.43541493626580063
q0,-,0,-,0.1991690464277119,-0.12332004787859725,0.5601414464693826
q1,-,0,-,0.8322784550071713,-0.5408329358665129,0.11163297102081104
norm,0,0,0,0.9995819817751368,-0.0010508584121872167,0.005579644706497522
d0_0,0,0,0,0.0001285662071957,-0.000902720331692258,0.0007893676376601817
d1_0,0,0,0,0.0014236084987577,-0.0020059573783386612,5.27553376353288e-05
