Time,Flux,Flux_err
2458340.4139717133,6388.7046,11.795487
2458340.4153605923,6387.677,11.778184
2458340.416749472,6346.5054,11.7817
2458340.418138351,6372.053,11.780703
2458340.41952723,6346.852,11.773146
2458340.420916109,6371.347,11.776941
2458340.4223049884,6374.598,11.786849
2458340.4236938674,6371.206,11.777993
2458340.4250827464,6381.2393,11.784119
2458340.426471625,6402.459,11.787945
2458340.427860505,6358.0283,11.781086
2458340.429249384,6357.8223,11.775508
2458340.430638263,6365.5073,11.780925
2458340.4320271425,6368.2007,11.778004
2458340.433416021,6368.7993,11.799993
2458340.4348049005,6368.7466,11.787512
2458340.43619378,6369.0645,11.778677
2458340.4375826586,6360.1826,11.772712
2458340.4389715376,6362.447,11.778178
2458340.440360417,6355.9087,11.78431
2458340.441749296,6364.1836,11.785029
2458340.443138175,6347.742,11.774292
2458340.4445270547,6345.8315,11.783503
2458340.4459159337,6364.772,11.781333
2458340.4473048127,6388.24,11.797411
2458340.448693692,6365.8013,11.788059
2458340.4500825712,6392.324,11.791144
2458340.4514714503,6365.8774,11.792001
2458340.4528603293,6353.2896,11.778156
2458340.454249209,6363.169,11.789385
2458340.455638088,6368.3364,11.791433
2458340.457026967,6368.3726,11.794155
2458340.458415846,6365.2812,11.78991
2458340.4598047254,6371.5815,11.7949095
2458340.4611936044,6349.661,11.789136
2458340.4625824834,6378.6035,11.790466
2458340.463971363,6368.2925,11.80015
2458340.465360242,6351.56,11.7903
2458340.466749121,6373.0693,11.803621
2458340.468138,6384.5234,11.796256
2458340.4695268795,6374.2817,11.81357
2458340.4709157585,6372.1846,11.796782
2458340.472304637,6384.836,11.811879
2458340.473693517,6366.0576,11.796533
2458340.475082396,6363.5884,11.7909355
2458340.476471275,6377.0986,11.806375
2458340.477860154,6365.421,11.799715
2458340.479249033,6363.8354,11.797959
2458340.4806379126,6374.4673,11.803432
2458340.482026792,6378.516,11.82087
2458340.4834156707,6353.4116,11.796087
2458340.4848045497,6358.272,11.797514
2458340.486193429,6379.014,11.818828
2458340.487582308,6357.4556,11.797051
2458340.4889711877,6374.0684,11.838108
2458340.4903600668,6363.454,11.804926
2458340.491748946,6368.234,11.799599
2458340.493137825,6375.3984,11.79965
2458340.494526704,6347.616,11.812514
2458340.495915584,6381.0947,11.820328
2458340.4973044624,6371.835,11.81237
2458340.4986933414,6364.1475,11.80847
2458340.5000822204,6360.219,11.807043
2458340.5014711,6371.4214,11.807968
2458340.502859979,6355.7896,11.806245
2458340.504248858,6374.81,11.814255
2458340.505637737,6370.9272,11.809265
2458340.5070266165,6370.2656,11.81744
2458340.5084154955,6371.067,11.818356
2458340.5098043745,6372.096,11.821862
2458340.511193254,6364.672,11.813913
2458340.512582133,6370.075,11.838587
2458340.513971012,6358.0444,11.810546
2458340.515359892,6361.7847,11.817299
2458340.5167487706,6365.452,11.807734
2458340.5181376496,6357.4214,11.807535
2458340.5195265287,6378.5503,11.818314
2458340.520915408,6359.9946,11.826194
2458340.5223042867,6378.6846,11.82352
2458340.523693166,6384.272,11.81738
2458340.525082045,6358.036,11.819798
2458340.5264709243,6368.83,11.822843
2458340.527859804,6371.608,11.825606
