Time,Flux,Flux_err
2459040.059263329,6228.6787,11.096705
2459040.060652245,6230.401,11.096402
2459040.06204116,6222.264,11.101632
2459040.0634300755,6240.7393,11.09525
2459040.064818992,6243.0576,11.1052685
2459040.0662079067,6249.804,11.104207
2459040.067596822,6230.899,11.09856
2459040.068985738,6234.6855,11.110966
2459040.070374653,6240.831,11.111846
2459040.071763569,6251.193,11.1086235
2459040.073152484,6208.203,11.092907
2459040.0745413997,6239.7305,11.111735
2459040.075930315,6251.779,11.111823
2459040.0773192304,6230.4663,11.102677
2459040.078708146,6245.14,11.109462
2459040.0800970616,6245.0483,11.112084
2459040.081485977,6231.967,11.108594
2459040.0828748923,6231.8794,11.095191
2459040.084263808,6224.134,11.0995865
2459040.085652723,6241.741,11.100263
2459040.087041639,6223.2324,11.099769
2459040.088430554,6223.0493,11.111339
2459040.089819469,6246.6357,11.103743
2459040.091208385,6229.3047,11.1042795
2459040.0925973,6241.621,11.101584
2459040.093986216,6232.2993,11.10929
2459040.095375132,6230.712,11.108625
2459040.0967640467,6214.26,11.096646
2459040.098152962,6232.3687,11.102079
2459040.0995418774,6256.859,11.11704
2459040.100930793,6220.923,11.095302
2459040.102319709,6229.847,11.098739
2459040.103708624,6226.7515,11.097666
2459040.1050975397,6212.272,11.089313
2459040.1064864546,6229.865,11.103681
2459040.1078753704,6207.41,11.091362
2459040.109264286,6203.6294,11.090329
2459040.110653201,6238.331,11.107031
2459040.1120421165,6223.936,11.105317
2459040.113431032,6224.483,11.094532
2459040.114819947,6204.7925,11.086459
2459040.116208863,6231.6987,11.093896
2459040.117597778,6239.8726,11.098281
2459040.1189866937,6244.6436,11.111973
2459040.120375609,6237.9604,11.113105
2459040.1217645244,6233.3926,11.11106
2459040.12315344,6248.561,11.108244
2459040.124542355,6232.7495,11.108779
2459040.1259312704,6239.793,11.111527
2459040.1273201862,6245.6064,11.114224
2459040.1287091016,6225.025,11.117469
2459040.130098017,6236.392,11.11272
2459040.1314869323,6247.0044,11.119981
2459040.132875848,6239.386,11.103183
2459040.134264763,6232.22,11.1140995
2459040.1356536783,6237.411,11.1099205
2459040.1370425937,6237.3013,11.114138
2459040.138431509,6246.0537,11.113725
2459040.1398204244,6228.533,11.113084
2459040.14120934,6245.807,11.108479
2459040.1425982555,6256.4985,11.114149
2459040.143987171,6225.7466,11.107827
2459040.1453760862,6226.6025,11.105666
2459040.1467650016,6234.949,11.116282
2459040.148153917,6241.3457,11.121938
2459040.1495428323,6245.917,11.113872
2459040.150931748,6240.356,11.108812
2459040.152320663,6242.779,11.111865
2459040.1537095783,6234.6543,11.106242
2459040.1550984937,6242.963,11.121184
2459040.156487409,6261.7354,11.126826
2459040.1578763244,6232.965,11.10297
2459040.15926524,6241.783,11.113761
2459040.1606541555,6223.3623,11.103077
2459040.162043071,6238.2827,11.11429
2459040.1634319862,6226.9287,11.122791
2459040.1648209016,6242.942,11.115802
2459040.166209817,6233.387,11.111568
2459040.1675987323,6237.907,11.120788
2459040.168987648,6222.288,11.111025
2459040.170376563,6237.0083,11.114228
2459040.1717654783,6250.9272,11.127323
2459040.1731543937,6246.0107,11.114699
2459040.174543309,6243.981,11.114738
2459040.1759322244,6235.203,11.113988
2459040.17732114,6239.108,11.122264
2459040.178710055,6238.863,11.107168
2459040.1800989704,6249.0386,11.12331
2459040.181487886,6246.7397,11.116271
2459040.182876801,6240.7666,11.108144
2459040.1842657165,6236.025,11.122136
2459040.185654632,6241.5938,11.108423
2459040.187043547,6242.176,11.121765
2459040.1884324625,6215.8564,11.102017
2459040.189821378,6242.054,11.111496
2459040.191210293,6238.8003,11.104866
2459040.192599209,6224.793,11.121984
2459040.193988124,6246.682,11.12118
2459040.1953770397,6241.384,11.117727
2459040.1967659546,6220.5625,11.110909
2459040.19815487,6225.244,11.10238
2459040.1995437853,6252.306,11.119312
2459040.2009327007,6219.43,11.103732
2459040.202321616,6250.0093,11.110625
2459040.203710532,6236.096,11.112868
2459040.2050994462,6213.1055,11.105488
2459040.2064883616,6230.3154,11.110381
2459040.2078772774,6248.6807,11.124976
2459040.2092661923,6239.219,11.125283
2459040.210655108,6241.6055,11.113369
2459040.212044023,6243.196,11.128067
2459040.2134329383,6225.0063,11.1098795
2459040.2148218537,6233.3706,11.1116905
2459040.216210769,6226.5073,11.111781
2459040.2175996844,6215.6533,11.108708
2459040.2189886,6243.9756,11.123175
2459040.220377515,6231.9673,11.109064
2459040.2217664304,6224.952,11.109221
2459040.223155346,6222.573,11.11275
2459040.2245442607,6229.5337,11.11057
2459040.225933176,6236.123,11.11584
2459040.227322092,6249.9893,11.121091
2459040.2287110067,6244.6577,11.114175
2459040.230099922,6233.004,11.126038
2459040.2314888374,6233.834,11.114305
2459040.2328777527,6227.294,11.114623
2459040.234266668,6220.4473,11.107493
2459040.235655583,6229.6133,11.113051
2459040.237044499,6218.3164,11.115535
2459040.2384334137,6227.706,11.109535
2459040.239822329,6251.367,11.12859
2459040.2412112444,6223.577,11.115116
2459040.24260016,6233.978,11.117844
2459040.243989075,6242.3506,11.114532
2459040.24537799,6234.728,11.115095
2459040.2467669053,6247.2935,11.117738
2459040.2481558206,6244.7554,11.117721
2459040.249544736,6252.91,11.120983
2459040.250933652,6225.152,11.116727
2459040.2523225667,6241.9536,11.110228
2459040.253711482,6229.655,11.115402
2459040.2551003974,6235.95,11.114416
2459040.2564893123,6223.4116,11.104472
2459040.257878228,6229.007,11.110013
2459040.259267143,6233.4927,11.11182
2459040.2606560583,6243.4395,11.113345
2459040.2620449737,6232.6187,11.113842
2459040.263433889,6244.0415,11.111588
2459040.264822804,6234.141,11.115956
2459040.2662117197,6234.047,11.11645
2459040.2676006346,6220.694,11.111618
2459040.26898955,6238.031,11.1093025
2459040.2703784653,6245.511,11.119036
2459040.27176738,6217.493,11.103765
2459040.2731562955,6231.043,11.10892
2459040.274545211,6242.805,11.119388
2459040.2759341258,6225.9507,11.107723
2459040.277323041,6244.639,11.11861
2459040.2787119565,6240.644,11.116473
2459040.280100872,6216.6636,11.097595
2459040.281489787,6237.3804,11.119582
2459040.282878702,6201.82,11.090888
2459040.2842676174,6180.4478,11.080356
2459040.2856565327,6179.4785,11.080798
2459040.287045448,6188.0713,11.09119
2459040.2884343634,6155.7744,11.075935
2459040.2898232783,6164.5713,11.061358
2459040.2912121937,6156.959,11.059167
2459040.292601109,6155.258,11.064338
2459040.293990024,6142.9194,11.05814
2459040.2953789392,6163.255,11.074911
2459040.2967678546,6137.541,11.0510845
2459040.29815677,6161.021,11.058097
2459040.299545685,6153.131,11.058236
2459040.3009346,6119.289,11.03853
2459040.3023235155,6132.566,11.054118
2459040.303712431,6132.4316,11.05047
2459040.3051013458,6131.516,11.054688
2459040.306490261,6121.928,11.043385
2459040.307879176,6152.16,11.056945
2459040.309268092,6130.1006,11.047816
2459040.3106570067,6131.2495,11.048338
2459040.312045922,6128.459,11.055271
2459040.313434837,6145.148,11.052284
2459040.3148237523,6152.107,11.058089
2459040.316212668,6121.791,11.045559
2459040.317601583,6127.023,11.043025
2459040.318990498,6135.8193,11.045327
2459040.320379413,6124.4307,11.043361
2459040.3217683285,6139.998,11.048121
2459040.3231572434,6122.727,11.042405
2459040.324546159,6160.4116,11.05848
2459040.325935074,6146.3076,11.043884
2459040.327323989,6127.0083,11.044942
2459040.3287129044,6139.2656,11.040512
2459040.3301018192,6123.31,11.04993
2459040.3314907346,6131.0205,11.037211
2459040.33287965,6124.095,11.050243
2459040.334268565,6117.6504,11.035241
2459040.33565748,6130.4365,11.043797
2459040.3370463955,6140.6123,11.049127
2459040.3384353104,6119.019,11.0362625
2459040.3398242258,6127.88,11.038042
2459040.3412131406,6124.7,11.033357
2459040.342602056,6122.707,11.035846
2459040.343990972,6135.6196,11.0386715
2459040.345379886,6137.2,11.0424595
