Time,Flux,Flux err
2459061.848391745,nan,nan
2459061.8539473186,6277.2515,10.866254
2459061.855336212,6286.434,10.867452
2459061.856725105,6274.594,10.861477
2459061.8581139985,6282.486,10.870566
2459061.859502892,6294.454,10.866901
2459061.860891785,6292.7676,10.869661
2459061.8622806785,6285.683,10.867327
2459061.863669572,6286.5854,10.865435
2459061.865058465,6291.455,10.867853
2459061.8664473584,6298.246,10.875562
2459061.8678362514,6291.837,10.871587
2459061.869225145,6275.487,10.86792
2459061.8706140383,6289.2754,10.877865
2459061.8720029313,6297.115,10.872568
2459061.8733918243,6295.494,10.863824
2459061.874780718,6271.955,10.86793
2459061.8761696112,6282.8384,10.869443
2459061.877558504,6304.5093,10.881881
2459061.881725184,6283.6313,10.865069
2459061.8872807566,6290.5107,10.867014
2459061.891447436,6288.848,10.87135
2459061.892836329,6293.49,10.876672
2459061.894225222,6292.0703,10.86511
2459061.8956141155,6291.698,10.865792
2459061.8970030085,6293.238,10.871242
2459061.8983919015,6273.1206,10.863432
2459061.8997807945,6306.2827,10.87742
2459061.9011696875,6296.375,10.876461
2459061.902558581,6283.559,10.865572
2459061.9039474735,6299.113,10.878572
2459061.905336367,6298.525,10.867683
2459061.90672526,6280.112,10.8727255
2459061.908114153,6288.7915,10.856643
2459061.909503046,6267.819,10.860892
2459061.910891939,6290.76,10.866453
2459061.912280832,6287.157,10.868177
2459061.913669725,6272.7183,10.856262
2459061.915058618,6288.1763,10.867791
2459061.917836404,6266.441,10.848406
2459061.919225297,6284.536,10.856654
2459061.92061419,6277.226,10.860646
2459061.922003083,6276.185,10.8619175
2459061.9233919755,6266.0283,10.854302
2459061.9247808685,6275.053,10.860406
2459061.9261697615,6281.472,10.856948
2459061.9275586545,6285.653,10.86841
2459061.9289475475,6281.4263,10.867239
2459061.9303364404,6279.513,10.8649645
2459061.9317253334,6276.6606,10.865889
2459061.9331142264,6293.666,10.861857
2459061.934503119,6286.658,10.866483
2459061.935892012,6292.6616,10.868807
2459061.937280905,6292.5674,10.861877
2459061.9386697975,6275.533,10.866329
2459061.9400586905,6289.115,10.8779125
2459061.9414475835,6299.7534,10.868791
2459061.9428364765,6280.8047,10.862543
2459061.944225369,6258.467,10.848407
2459061.945614262,6287.6113,10.861143
2459061.9470031545,6285.372,10.865624
2459061.9483920475,6280.2124,10.8568
2459061.94978094,6278.07,10.859253
2459061.951169833,6275.878,10.860618
2459061.952558726,6298.4844,10.874505
2459061.9539476186,6280.1865,10.867732
2459061.9553365116,6283.7354,10.856002
2459061.956725404,6289.333,10.876694
2459061.958114297,6297.3,10.869413
2459061.9595031897,6292.3984,10.864113
2459061.9608920827,6294.6514,10.860677
2459061.962280975,6277.4673,10.868729
2459061.963669868,6286.8066,10.865788
2459061.9650587607,6298.238,10.86897
2459061.9664476532,6292.129,10.864962
2459061.9678365462,6273.739,10.857521
2459061.9692254392,6304.475,10.87178
2459061.970614332,6283.07,10.861844
2459061.9720032243,6305.1313,10.868942
2459061.973392117,6290.849,10.867564
2459061.9747810094,6293.456,10.871218
2459061.9761699024,6291.0986,10.86007
2459061.977558795,6284.202,10.869714
2459061.978947688,6281.444,10.869556
2459061.9803365804,6267.823,10.863553
2459061.981725473,6275.37,10.863158
2459061.9831143655,6291.9575,10.86694
2459061.9845032585,6293.4707,10.872286
2459061.9858921506,6283.78,10.878355
2459061.9872810435,6297.1064,10.884097
2459061.988669936,6282.993,10.8626995
2459061.9900588286,6292.22,10.863576
2459061.991447721,6266.5073,10.855292
2459061.9928366137,6271.7197,10.856653
2459061.9942255067,6277.1045,10.867324
2459061.9956143987,6294.3193,10.883232
2459061.9970032917,6281.9624,10.860588
2459061.9983921843,6283.8745,10.864902
2459061.999781077,6271.475,10.862024
2459062.0011699693,6278.297,10.8617325
2459062.002558862,6282.141,10.874057
2459062.0039477544,6270.4883,10.854854
2459062.005336647,6281.8003,10.860167
2459062.0067255395,6252.9683,10.857028
2459062.008114432,6298.2856,10.867495
2459062.0095033245,6282.087,10.866373
2459062.0108922166,6283.0566,10.869635
2459062.012281109,6284.0654,10.863555
2459062.0136700016,6291.0767,10.863522
2459062.015058894,6277.6753,10.863853
2459062.0164477867,6275.6216,10.859614
2459062.0178366792,6290.1704,10.86871
2459062.019225572,6274.9673,10.86406
2459062.020614464,6285.665,10.865588
2459062.0220033564,6288.279,10.87078
2459062.023392249,6281.406,10.865
2459062.0247811414,6271.189,10.865598
2459062.026170034,6299.5312,10.87058
2459062.0275589265,6265.092,10.854577
2459062.0289478186,6262.9263,10.850918
2459062.030336711,6296.2856,10.872287
2459062.0317256036,6281.334,10.873472
2459062.033114496,6283.7056,10.869007
2459062.034503388,6298.6875,10.867163
2459062.0358922807,6303.1475,10.870748
2459062.037281173,6303.5503,10.872454
2459062.0386700653,6282.113,10.862066
2459062.040058958,6275.0728,10.862702
2459062.04144785,6273.178,10.859528
2459062.0428367425,6283.4976,10.862409
2459062.044225635,6298.1196,10.875109
2459062.0456145275,6285.2812,10.870346
2459062.0470034196,6289.43,10.874279
2459062.0483923117,6287.851,10.855273
2459062.049781204,6265.8564,10.85622
2459062.0511700967,6272.415,10.8472805
2459062.052558989,6278.6045,10.860022
2459062.0539478813,6283.903,10.864173
2459062.0553367734,6283.882,10.867205
2459062.0567256655,6290.557,10.868731
2459062.058114558,6298.1934,10.873102
2459062.0595034505,6270.851,10.856029
2459062.0608923426,6290.6978,10.868931
2459062.0622812347,6273.694,10.866572
2459062.063670127,6258.916,10.850237
2459062.0650590193,6288.053,10.875376
2459062.066447912,6288.013,10.863324
2459062.067836804,6301.1094,10.877581
2459062.069225696,6284.9917,10.859259
2459062.0706145884,6287.255,10.876419
2459062.0720034805,6292.7236,10.863022
2459062.0733923726,6299.605,10.862765
2459062.074781265,6275.884,10.860487
2459062.076170157,6286.2827,10.866707
2459062.0775590492,6272.7324,10.866589
2459062.0789479413,6288.332,10.857618
2459062.080336834,6270.478,10.860448
2459062.081725726,6292.0186,10.869574
2459062.083114618,6283.353,10.864473
2459062.08450351,6286.594,10.860505
2459062.0858924026,6303.7134,10.880035
2459062.0872812946,6313.5786,10.878923
2459062.0886701867,6301.409,10.866097
2459062.0900590788,6268.8223,10.853137
2459062.091447971,6279.7085,10.86429
2459062.092836863,6286.801,10.863018
2459062.0942257554,6282.2383,10.860711
2459062.0956146475,6262.692,10.865543
